"Conventional Revenue","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2025-2034"
"IEEPA Fentanyl/""Reciprocal"" China","$9.50","$9.50","$9.80","$10.20","$10.50","$10.90","$11.40","$11.80","$12.30","$12.70","$108.70"
"Reciprocal""  Mexico","$18.4","$16.8","$17.6","$18.2","$18.8","$19.4","$20.2","$21.0","$21.8","$22.6","$194.7"
"Reciprocal""  Canada","$15.4","$10.6","$11.1","$11.5","$11.9","$12.3","$12.7","$13.2","$13.8","$14.3","$126.7"
"Reciprocal""  EU","$28.5","$29.3","$30.6","$31.7","$32.7","$33.8","$35.2","$36.5","$37.9","$53.0","$349.3"
"Reciprocal""  ROW","$85.7","$85.6","$86.8","$86.1","$85.8","$86.0","$86.4","$86.4","$86.3","$86.2","$861.4"
"Sec 232 Steel Aluminum","$10.8","$11.1","$11.6","$12.0","$12.4","$12.8","$13.3","$13.9","$14.4","$32.7","$145.1"
"Sec 232 Auto","$38.4","$39.5","$41.2","$42.7","$44.1","$45.6","$47.4","$49.2","$51.1","$53.0","$452.4"
"Total Conventional Revenue","$206.6","$202.5","$208.7","$212.3","$216.2","$220.9","$226.6","$232.1","$237.6","$274.7","$2,238.2"
"","","","","","","","","","","",""
"Dynamic Revenue","","","","","","","","","","",""
"IEEPA Fentanyl/""Reciprocal"" China","'-$10.9","'-$12.0","'-$13.2","'-$13.3","'-$14.1","'-$14.5","'-$14.7","'-$15.1","'-$15.5","'-$16.6","'-$139.9"
"Reciprocal""  Mexico","$17.7","$16.0","$16.6","$17.2","$17.8","$18.4","$19.1","$19.9","$20.6","$21.4","$184.8"
"Reciprocal""  Canada","$15.0","$10.1","$10.5","$10.9","$11.3","$11.6","$12.1","$12.6","$13.0","$13.5","$120.5"
"Reciprocal""  EU","$23.4","$24.0","$25.0","$26.0","$26.7","$27.6","$28.9","$30.0","$31.1","$45.7","$288.5"
"Reciprocal""  ROW","$70.9","$69.9","$69.9","$69.0","$68.0","$67.5","$67.4","$66.9","$66.1","$64.8","$680.4"
"Sec 232 Steel Aluminum","$10.1","$10.4","$10.9","$11.2","$11.6","$12.0","$12.5","$13.0","$13.5","$31.8","$136.9"
"Sec 232 Auto","$30.8","$31.6","$32.8","$34.2","$35.2","$36.2","$38.0","$39.4","$41.0","$42.2","$361.6"
"Total Dynamic Revenue","$157.0","$150.0","$152.6","$155.3","$156.6","$158.7","$163.3","$166.7","$169.9","$202.8","$1,632.9"
"","","","","","","","","","","",""
"Dynamic Revenue with Threatened and Imposed Retaliation","$150.0","$142.6","$144.7","$147.3","$148.3","$150.0","$154.4","$157.5","$160.4","$192.7","$1,547.9"

